,,Portfolio,,,,,,,,,,,,,,,,,,,Portfolio,,,,,,,,,,,,,,,,,,,
APAC,Brunei Darussalam (TPI),Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,FME alternative (Smartbag),No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Bulgaria,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Partial,No,,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,No,Partial,Concentrates assessment
EMEA EAST,Burkina Faso,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
APAC,Cambodia (TPI),No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Cameroon,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA WEST,Canada,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Partial,"FxCorAL launch, WTS registration, CDS assestment",,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,"FxCorAL launch, WTS launch, CDS assestment"
EMEA EAST,Chad,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
LATAM,Chile,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Partial,No,,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,No
China & HK,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATAM,Colombia,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Partial,No,,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,No
LATAM,Costa Rica,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Partial,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Cote d'Ivoire,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Croatia,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Partial,TDMS assessment,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,currently not available,Yes,Yes,Partial,"CorAL assessment 
"
LATAM,Cuba,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Partial,No,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
LATAM,Curacao,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Cyprus,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,currently not available,Yes,No,Partial,No
EMEA WEST,Czech Republic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Partial,TDMS assessment,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,Yes,Partial,TDMS / IDMS assessment
EMEA EAST,Democratic Republic of Congo,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,currently not available,No,No,Partial,No
EMEA WEST,Denmark,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,Yes,Partial,CorAL assessment
LATAM,Dominican Republic,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Partial,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
LATAM,Ecuador,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Partial,No,,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,currently not available,Yes,Yes,Partial,No
EMEA EAST,Egypt,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Partial,CorAL assessment,,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,CorAL assessment
LATAM,El Salvador,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Partial,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Eritrea,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA WEST,Estonia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Partial,TPI - NoTO,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Eswatini,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,currently not available,No,No,Partial,No
EMEA WEST,Ethiopia,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA WEST,Finland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,Yes,Partial,
EMEA WEST,France,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Partial,TDMS assessment,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,currently not available,Yes,Yes,Partial,TDMS assessment
EMEA EAST,Gabon,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Partial,No,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
